Datum,Makkink (mm),G_lower,G_center,G_upper,H_lower,H_center,H_upper,Hplus_lower,Hplus_center,Hplus_upper,L_lower,L_center,L_upper
6/28/1906,1.673,3.8096,3.8139,3.8139,3.8096,3.8139,3.8139,3.8096,3.8139,3.8139,3.8096,3.8139,3.8139
6/29/1906,2.448,17.5341,17.6958,17.8419,17.5341,17.6958,17.8419,17.5341,17.6958,17.8419,17.5341,17.6958,17.8419
6/30/1906,3.213,0.3222,0.3264,0.33,0.3222,0.3264,0.33,0.3222,0.3264,0.33,0.3222,0.3264,0.33
7/1/1906,2.717,0.3245,0.2852,0.2558,0.3245,0.2852,0.2558,0.3245,0.2852,0.2558,0.3245,0.2852,0.2558
7/2/1906,3.799,0,0,0,0,0,0,0,0,0,0,0,0
7/3/1906,3.469,0,0,0,0,0,0,0,0,0,0,0,0
7/4/1906,5.034,0,0,0,0,0,0,0,0,0,0,0,0
7/5/1906,1.536,3.9476,3.8176,3.6877,3.9476,3.8176,3.6877,3.9476,3.8176,3.6877,3.9476,3.8176,3.6877
7/6/1906,4.389,0,0,0,0,0,0,0,0,0,0,0,0
7/7/1906,4.555,0,0,0,0,0,0,0,0,0,0,0,0
7/8/1906,5.192,0,0,0,0,0,0,0,0,0,0,0,0
7/9/1906,4.592,0,0,0,0,0,0,0,0,0,0,0,0
7/10/1906,3.769,0,0,0,0,0,0,0,0,0,0,0,0
7/11/1906,1.482,38.9768,40.5422,42.1173,42.094944,43.785576,45.486684,44.433552,46.218108,48.013722,36.248424,37.704246,39.169089
7/12/1906,1.509,5.1805,5.2361,5.2984,5.59494,5.654988,5.722272,5.90577,5.969154,6.040176,4.817865,4.869573,4.927512
7/13/1906,2.633,3.4194,3.2483,3.0909,3.692952,3.508164,3.338172,3.898116,3.703062,3.523626,3.180042,3.020919,2.874537
7/14/1906,2.435,0,0,0,0,0,0,0,0,0,0,0,0
7/15/1906,1.964,2.1643,2.0441,1.9338,2.1643,2.0441,1.9338,2.1643,2.0441,1.9338,2.1643,2.0441,1.9338
7/16/1906,2.887,0,0,0,0,0,0,0,0,0,0,0,0
7/17/1906,2.387,0,0,0,0,0,0,0,0,0,0,0,0
7/18/1906,4.699,0,0,0,0,0,0,0,0,0,0,0,0
7/19/1906,2.645,5.9946,5.8866,5.7784,5.9946,5.8866,5.7784,5.9946,5.8866,5.7784,5.9946,5.8866,5.7784
7/20/1906,2.463,2.0251,1.9133,1.8016,2.0251,1.9133,1.8016,2.0251,1.9133,1.8016,2.0251,1.9133,1.8016
7/21/1906,4.7,0,0,0,0,0,0,0,0,0,0,0,0
7/22/1906,1.466,0.1112,0.1011,0.1011,0.1112,0.1011,0.1011,0.1112,0.1011,0.1011,0.1112,0.1011,0.1011
7/23/1906,2.701,0,0,0,0,0,0,0,0,0,0,0,0
7/24/1906,1.486,0.7404,0.6804,0.6203,0.7404,0.6804,0.6203,0.7404,0.6804,0.6203,0.7404,0.6804,0.6203
7/25/1906,4.455,0,0,0,0,0,0,0,0,0,0,0,0
7/26/1906,4.625,0,0,0,0,0,0,0,0,0,0,0,0
7/27/1906,1.878,1.7002,1.5901,1.4901,1.7002,1.5901,1.4901,1.7002,1.5901,1.4901,1.7002,1.5901,1.4901
7/28/1906,2.429,0,0,0,0,0,0,0,0,0,0,0,0
7/29/1906,4.797,0,0,0,0,0,0,0,0,0,0,0,0
7/30/1906,4.111,0,0,0,0,0,0,0,0,0,0,0,0
7/31/1906,4.485,0.9033,0.823,0.7527,0.9033,0.823,0.7527,0.9033,0.823,0.7527,0.9033,0.823,0.7527
8/1/1906,4.802,0,0,0,0,0,0,0,0,0,0,0,0
8/2/1906,4.67,0,0,0,0,0,0,0,0,0,0,0,0
8/3/1906,2.547,3.2401,3.1001,2.9701,3.2401,3.1001,2.9701,3.2401,3.1001,2.9701,3.2401,3.1001,2.9701
8/4/1906,4.094,9.1859,9.1566,9.1175,9.1859,9.1566,9.1175,9.1859,9.1566,9.1175,9.1859,9.1566,9.1175
8/5/1906,4.243,0.2188,0.218,0.2172,0.2188,0.218,0.2172,0.2188,0.218,0.2172,0.2188,0.218,0.2172
8/6/1906,4.583,0,0,0,0,0,0,0,0,0,0,0,0
8/7/1906,4.113,0,0,0,0,0,0,0,0,0,0,0,0
8/8/1906,3.463,0,0,0,0,0,0,0,0,0,0,0,0
8/9/1906,1.922,0,0,0,0,0,0,0,0,0,0,0,0
8/10/1906,2.624,1.2407,1.1481,1.0754,1.2407,1.1481,1.0754,1.2407,1.1481,1.0754,1.2407,1.1481,1.0754
8/11/1906,3.007,4.8978,4.7013,4.5149,4.8978,4.7013,4.5149,4.8978,4.7013,4.5149,4.8978,4.7013,4.5149
8/12/1906,2.097,0,0,0,0,0,0,0,0,0,0,0,0
8/13/1906,2.862,2.3136,2.2737,2.2303,2.3136,2.2737,2.2303,2.3136,2.2737,2.2303,2.3136,2.2737,2.2303
8/14/1906,1.463,8.3654,8.2651,8.1587,8.3654,8.2651,8.1587,8.3654,8.2651,8.1587,8.3654,8.2651,8.1587
8/15/1906,2.917,7.8673,7.7053,7.5531,7.8673,7.7053,7.5531,7.8673,7.7053,7.5531,7.8673,7.7053,7.5531
8/16/1906,3.04,2.1068,2.0594,2.0126,2.1068,2.0594,2.0126,2.1068,2.0594,2.0126,2.1068,2.0594,2.0126
8/17/1906,1.997,8.7629,8.5862,8.4174,8.7629,8.5862,8.4174,8.7629,8.5862,8.4174,8.7629,8.5862,8.4174
8/18/1906,2.275,3.0337,2.9296,2.8275,3.0337,2.9296,2.8275,3.0337,2.9296,2.8275,3.0337,2.9296,2.8275
8/19/1906,2.708,1.1324,1.0824,1.0324,1.1324,1.0824,1.0324,1.1324,1.0824,1.0324,1.1324,1.0824,1.0324
8/20/1906,2.649,0,0,0,0,0,0,0,0,0,0,0,0
8/21/1906,1.268,0.4617,0.4015,0.3714,0.4617,0.4015,0.3714,0.4617,0.4015,0.3714,0.4617,0.4015,0.3714
8/22/1906,3.794,0,0,0,0,0,0,0,0,0,0,0,0
8/23/1906,3.472,0,0,0,0,0,0,0,0,0,0,0,0
8/24/1906,2.32,0,0,0,0,0,0,0,0,0,0,0,0
8/25/1906,1.167,9.1521,8.9916,8.8414,9.1521,8.9916,8.8414,9.1521,8.9916,8.8414,9.1521,8.9916,8.8414
8/26/1906,2.85,3.8992,3.7761,3.6532,3.8992,3.7761,3.6532,3.8992,3.7761,3.6532,3.8992,3.7761,3.6532
8/27/1906,2.628,0.8129,0.7459,0.6889,0.8129,0.7459,0.6889,0.8129,0.7459,0.6889,0.8129,0.7459,0.6889
8/28/1906,3.073,0,0,0,0,0,0,0,0,0,0,0,0
8/29/1906,3.804,0,0,0,0,0,0,0,0,0,0,0,0
8/30/1906,3.982,0,0,0,0,0,0,0,0,0,0,0,0
8/31/1906,3.981,0,0,0,0,0,0,0,0,0,0,0,0
9/1/1906,3.793,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1906,4.013,0,0,0,0,0,0,0,0,0,0,0,0
9/3/1906,4.021,0,0,0,0,0,0,0,0,0,0,0,0
9/4/1906,3.452,0,0,0,0,0,0,0,0,0,0,0,0
9/5/1906,1.063,0.1564,0.1369,0.1173,0.1564,0.1369,0.1173,0.1564,0.1369,0.1173,0.1564,0.1369,0.1173
9/6/1906,1.779,3.1454,3.0356,2.9257,3.1454,3.0356,2.9257,3.1454,3.0356,2.9257,3.1454,3.0356,2.9257
9/7/1906,1.064,0,0,0,0,0,0,0,0,0,0,0,0
9/8/1906,2.19,0,0,0,0,0,0,0,0,0,0,0,0
9/9/1906,2.155,0,0,0,0,0,0,0,0,0,0,0,0
9/10/1906,2.001,8.2563,8.2368,8.2087,8.2563,8.2368,8.2087,8.2563,8.2368,8.2087,8.2563,8.2368,8.2087
9/11/1906,2.837,1.1952,1.1952,1.1937,1.1952,1.1952,1.1937,1.1952,1.1952,1.1937,1.1952,1.1952,1.1937
9/12/1906,2.731,0,0,0,0,0,0,0,0,0,0,0,0
